DATE	TIME	VOLUME	OPEN	CLOSE	MIN	MAX
10/23/2006	09:00:01	4501	119.07	119.23	118.97	119.26
10/23/2006	10:00:01	3705	119.23	119.22	119.07	119.28
10/23/2006	11:00:01	3315	119.2	119.22	119.12	119.25
10/23/2006	12:00:01	4126	119.2	119.35	119.15	119.37
10/23/2006	13:00:01	4218	119.35	119.33	119.25	119.42
10/23/2006	14:00:01	3646	119.32	119.29	119.23	119.38
10/23/2006	15:00:01	3504	119.3	119.31	119.19	119.34
10/23/2006	16:00:01	2661	119.31	119.3	119.19	119.35
10/23/2006	17:00:01	3205	119.3	119.3	119.2	119.38
10/23/2006	18:00:01	1978	119.3	119.29	119.22	119.31
10/23/2006	19:00:01	1531	119.27	119.32	119.23	119.33
10/23/2006	20:00:01	1462	119.32	119.34	119.25	119.35
10/23/2006	21:00:01	1770	119.34	119.34	119.25	119.39
10/23/2006	22:00:01	1594	119.31	119.32	119.24	119.35
10/23/2006	23:00:01	2176	119.32	119.33	119.27	119.39
10/24/2006	00:00:01	3322	119.32	119.31	119.21	119.37
10/24/2006	01:00:01	3098	119.31	119.39	119.26	119.47
10/24/2006	02:00:01	1989	119.39	119.39	119.32	119.43
10/24/2006	03:00:01	1978	119.4	119.38	119.34	119.43
10/24/2006	04:00:01	2207	119.39	119.39	119.33	119.43
10/24/2006	05:00:01	2479	119.4	119.45	119.32	119.47
10/24/2006	06:00:01	4300	119.43	119.49	119.35	119.58
10/24/2006	07:00:01	3971	119.5	119.52	119.37	119.58
10/24/2006	08:00:01	3882	119.51	119.46	119.4	119.6
10/24/2006	09:00:01	3364	119.48	119.49	119.38	119.53
10/24/2006	10:00:01	3426	119.49	119.58	119.41	119.62
10/24/2006	11:00:01	3523	119.57	119.51	119.4	119.63
10/24/2006	12:00:01	3062	119.51	119.52	119.44	119.62
10/24/2006	13:00:01	3555	119.46	119.59	119.45	119.66
10/24/2006	14:00:01	3639	119.59	119.47	119.42	119.64
10/24/2006	15:00:01	4920	119.46	119.25	119.06	119.49
10/24/2006	16:00:01	2850	119.26	119.18	119.1	119.28
10/24/2006	17:00:01	2722	119.18	119.18	119.08	119.25
10/24/2006	18:00:01	2079	119.18	119.27	119.11	119.28
10/24/2006	19:00:01	2168	119.26	119.29	119.2	119.35
10/24/2006	20:00:01	1703	119.26	119.36	119.25	119.38
10/24/2006	21:00:01	2069	119.36	119.41	119.29	119.44
10/24/2006	22:00:01	1570	119.41	119.34	119.28	119.44
10/24/2006	23:00:01	2269	119.34	119.32	119.29	119.42
10/25/2006	00:00:01	3406	119.32	119.29	119.2	119.36
10/25/2006	01:00:01	4024	119.27	119.21	119.11	119.31
10/25/2006	02:00:01	2342	119.22	119.23	119.15	119.26
10/25/2006	03:00:01	2139	119.23	119.22	119.14	119.26
10/25/2006	04:00:01	2448	119.22	119.28	119.16	119.3
10/25/2006	05:00:01	2824	119.28	119.21	119.19	119.31
10/25/2006	06:00:01	3155	119.22	119.23	119.13	119.28
10/25/2006	07:00:01	4388	119.22	119.09	118.98	119.27
10/25/2006	08:00:01	4507	119.09	119.08	118.95	119.19
10/25/2006	09:00:01	3568	119.07	119.14	118.97	119.17
10/25/2006	10:00:01	3775	119.14	119.05	118.98	119.17
10/25/2006	11:00:01	3129	119.04	119.12	118.97	119.2
10/25/2006	12:00:01	3036	119.13	119.14	119.04	119.23
10/25/2006	13:00:01	3197	119.15	119.17	119.09	119.28
10/25/2006	14:00:01	4008	119.17	119.1	119.02	119.22
10/25/2006	15:00:01	3504	119.1	119.11	118.97	119.16
10/25/2006	16:00:01	2198	119.13	119.13	119.04	119.15
10/25/2006	17:00:01	2280	119.13	119.2	119.08	119.26
10/25/2006	18:00:01	5744	119.2	118.95	118.85	119.36
10/25/2006	19:00:01	2681	118.97	119.02	118.87	119.07
10/25/2006	20:00:01	2407	119.03	119.12	118.98	119.15
10/25/2006	21:00:01	2212	119.11	119.03	118.97	119.16
10/25/2006	22:00:01	2054	119.03	118.97	118.89	119.06
10/25/2006	23:00:01	2447	118.97	118.91	118.87	119.02
10/26/2006	00:00:01	3434	118.92	118.89	118.79	118.95
10/26/2006	01:00:01	2941	118.91	118.81	118.76	118.96
10/26/2006	02:00:01	3502	118.79	118.74	118.71	118.86
10/26/2006	03:00:01	2049	118.75	118.77	118.71	118.82
10/26/2006	04:00:01	1889	118.77	118.81	118.72	118.87
10/26/2006	05:00:01	2645	118.81	118.86	118.78	118.9
10/26/2006	06:00:01	3522	118.88	118.82	118.71	118.94
10/26/2006	07:00:01	4281	118.82	118.72	118.64	118.84
10/26/2006	08:00:01	4162	118.74	118.73	118.63	118.87
10/26/2006	09:00:01	3152	118.73	118.64	118.56	118.76
10/26/2006	10:00:01	3224	118.64	118.82	118.6	118.87
10/26/2006	11:00:01	3085	118.82	118.81	118.71	118.87
10/26/2006	12:00:01	4873	118.81	118.75	118.66	118.88
10/26/2006	13:00:01	4252	118.75	118.73	118.59	118.79
10/26/2006	14:00:01	4502	118.72	118.59	118.52	118.82
10/26/2006	15:00:01	3426	118.62	118.61	118.54	118.72
10/26/2006	16:00:01	4093	118.61	118.33	118.27	118.67
10/26/2006	17:00:01	2841	118.34	118.28	118.25	118.39
10/26/2006	18:00:01	2629	118.28	118.37	118.22	118.4
10/26/2006	19:00:01	1772	118.37	118.37	118.32	118.44
10/26/2006	20:00:01	1755	118.38	118.37	118.33	118.42
10/26/2006	21:00:01	1587	118.39	118.4	118.33	118.45
10/26/2006	22:00:01	1924	118.39	118.37	118.3	118.44
10/26/2006	23:00:01	3129	118.36	118.62	118.32	118.66
10/27/2006	00:00:01	4339	118.62	118.56	118.53	118.73
10/27/2006	01:00:01	3944	118.57	118.43	118.36	118.6
