DATE	TIME	VOLUME	OPEN	CLOSE	LOW	HIGH
04/28/2008	03:00:01	2047	9.3488	9.3442	9.3428	9.3503
04/28/2008	04:00:01	1995	9.3443	9.3464	9.3328	9.3496
04/28/2008	05:00:01	2901	9.3459	9.342	9.3339	9.3485
04/28/2008	06:00:01	4961	9.3388	9.3553	9.3372	9.3602
04/28/2008	07:00:01	6677	9.3548	9.3612	9.3492	9.3669
04/28/2008	08:00:01	5254	9.3601	9.3604	9.351	9.3642
04/28/2008	09:00:01	5349	9.3586	9.3575	9.3513	9.3651
04/28/2008	10:00:01	4687	9.3603	9.36	9.3519	9.3652
04/28/2008	11:00:01	5309	9.3566	9.3593	9.3512	9.3635
04/28/2008	12:00:01	8560	9.3591	9.349	9.3409	9.3632
04/28/2008	13:00:01	7588	9.3515	9.3508	9.3349	9.3616
04/28/2008	14:00:01	7058	9.3488	9.3459	9.3357	9.3532
04/28/2008	15:00:01	7181	9.3459	9.3513	9.3402	9.3554
04/28/2008	16:00:01	3537	9.3531	9.3594	9.3452	9.3619
04/28/2008	17:00:01	2525	9.3594	9.3602	9.3525	9.3676
04/28/2008	18:00:01	2607	9.3602	9.3578	9.3482	9.3627
04/28/2008	19:00:01	2423	9.3577	9.3603	9.3497	9.3641
04/28/2008	20:00:01	2725	9.3602	9.3581	9.3546	9.3631
04/28/2008	21:00:01	2069	9.3594	9.3512	9.3445	9.3605
04/28/2008	22:00:01	1435	9.3528	9.3553	9.3484	9.36
04/28/2008	23:00:01	1745	9.3566	9.3487	9.3459	9.3579
04/29/2008	00:00:01	1953	9.3493	9.3508	9.3469	9.3539
04/29/2008	01:00:01	1772	9.3476	9.35	9.3476	9.3534
04/29/2008	02:00:01	1818	9.3511	9.3512	9.348	9.3541
04/29/2008	03:00:01	1701	9.3511	9.351	9.3479	9.3534
04/29/2008	04:00:01	1947	9.3519	9.3499	9.3446	9.3531
04/29/2008	05:00:01	3281	9.3505	9.3527	9.3448	9.3554
04/29/2008	06:00:01	6081	9.3518	9.3527	9.3456	9.3587
04/29/2008	07:00:01	7699	9.3527	9.3586	9.3391	9.3676
04/29/2008	08:00:01	6395	9.3574	9.3596	9.35	9.3725
